id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance
0,W,Liverpool 2018-2019,13.0,8.0,1.0,4.0,24.0,12.0,12.0,25.0,28.3,13.9,14.4,1.11,52.907
2,F,Tottenham 2018-2019,13.0,6.0,2.0,5.0,20.0,19.0,1.0,20.0,20.5,16.1,4.4,0.34,62.947
4,SF,Barcelona 2018-2019,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,23.1,14.4,8.6,0.72,86.178
5,SF,Ajax 2018-2019,12.0,6.0,4.0,2.0,22.0,13.0,9.0,22.0,22.3,17.8,4.5,0.38,52.056
7,QF,Manchester City 2018-2019,10.0,7.0,1.0,2.0,30.0,12.0,18.0,22.0,22.9,10.1,12.8,1.28,49.535
8,QF,Porto 2018-2019,10.0,6.0,1.0,3.0,20.0,15.0,5.0,19.0,16.9,19.4,-2.5,-0.25,43.415
9,QF,Juventus 2018-2019,10.0,5.0,1.0,4.0,14.0,9.0,5.0,16.0,18.9,10.1,8.8,0.88,40.766
10,QF,Manchester Utd 2018-2019,10.0,4.0,1.0,5.0,10.0,11.0,-1.0,13.0,10.4,13.7,-3.2,-0.32,73.708
12,R16,Atlético Madrid 2018-2019,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,8.1,9.1,-1.0,-0.12,60.068
13,R16,Bayern Munich 2018-2019,8.0,4.0,3.0,1.0,16.0,8.0,8.0,15.0,14.7,9.3,5.4,0.68,69.536
14,R16,Real Madrid 2018-2019,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,16.9,10.8,6.1,0.76,66.314
15,R16,Paris S-G 2018-2019,8.0,4.0,2.0,2.0,20.0,12.0,8.0,14.0,16.9,10.5,6.4,0.8,45.144
16,R16,Dortmund 2018-2019,8.0,4.0,1.0,3.0,10.0,6.0,4.0,13.0,12.2,6.8,5.5,0.68,66.099
17,R16,Roma 2018-2019,8.0,4.0,0.0,4.0,14.0,12.0,2.0,12.0,15.0,14.0,1.0,0.12,49.525
18,R16,Schalke 04 2018-2019,8.0,3.0,2.0,3.0,8.0,14.0,-6.0,11.0,10.5,11.9,-1.4,-0.17,50.949
19,R16,Lyon 2018-2019,8.0,1.0,6.0,1.0,13.0,16.0,-3.0,9.0,12.3,17.2,-5.0,-0.62,41.945
21,GR,Napoli 2018-2019,6.0,2.0,3.0,1.0,7.0,5.0,2.0,9.0,10.9,6.5,4.4,0.73,45.672
22,GR,Valencia 2018-2019,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,6.9,11.1,-4.2,-0.7,39.697
23,GR,Inter 2018-2019,6.0,2.0,2.0,2.0,6.0,7.0,-1.0,8.0,8.6,7.8,0.8,0.13,65.857
24,GR,CSKA Moscow 2018-2019,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,6.9,11.6,-4.8,-0.79,63.052
25,GR,Benfica 2018-2019,6.0,2.0,1.0,3.0,6.0,11.0,-5.0,7.0,6.2,10.7,-4.5,-0.75,48.412
26,GR,Viktoria Plzeň 2018-2019,6.0,2.0,1.0,3.0,7.0,16.0,-9.0,7.0,7.8,12.3,-4.5,-0.75,11.337
27,GR,Club Brugge 2018-2019,6.0,1.0,3.0,2.0,6.0,5.0,1.0,6.0,5.4,6.3,-0.9,-0.15,24.928
28,GR,Shakhtar 2018-2019,6.0,1.0,3.0,2.0,8.0,16.0,-8.0,6.0,6.9,13.2,-6.3,-1.04,34.786
29,GR,Galatasaray 2018-2019,6.0,1.0,1.0,4.0,5.0,8.0,-3.0,4.0,9.9,9.6,0.2,0.04,41.394
30,GR,Young Boys 2018-2019,6.0,1.0,1.0,4.0,4.0,12.0,-8.0,4.0,6.5,11.5,-5.0,-0.83,30.785
31,GR,Red Star 2018-2019,6.0,1.0,1.0,4.0,5.0,17.0,-12.0,4.0,2.9,19.4,-16.6,-2.76,49.596
32,GR,Hoffenheim 2018-2019,6.0,0.0,3.0,3.0,11.0,14.0,-3.0,3.0,11.1,12.3,-1.2,-0.21,23.972
33,GR,Loko Moscow 2018-2019,6.0,1.0,0.0,5.0,4.0,12.0,-8.0,3.0,6.6,9.2,-2.5,-0.42,17.181
34,GR,PSV Eindhoven 2018-2019,6.0,0.0,2.0,4.0,6.0,13.0,-7.0,2.0,7.1,13.9,-6.8,-1.13,34.783
35,GR,Monaco 2018-2019,6.0,0.0,1.0,5.0,2.0,14.0,-12.0,1.0,5.1,11.0,-5.9,-0.99,9.218
36,GR,AEK Athens 2018-2019,6.0,0.0,0.0,6.0,2.0,13.0,-11.0,0.0,4.7,11.9,-7.2,-1.2,39.377
